,Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
107,RZAG11,Títulos e Val. Mob.,"R$ 9,49",2088540.0,"R$ 0,11","1,11%","3,75%","7,73%","14,33%","1,25%","1,29%","1,19%","13,48%","-4,90%","-3,85%","15,03%","R$ 650.317.000,88","R$ 9,56",0.99,"1,36%","0,26%","1,63%","12,47%",,,0
108,XPCA11,Títulos e Val. Mob.,"R$ 9,56",1691000.0,"R$ 0,12","1,20%","3,93%","7,94%","0,00%","1,31%","1,32%","0,00%","14,27%","-2,44%","-1,27%","19,28%","R$ 203.824.165,66","R$ 9,49",1.01,"1,48%","-0,14%","1,34%","12,47%",,,0
109,EDFO11B,Lajes Corporativas,"R$ 196,02",20.0,"R$ 1,64","0,75%","2,56%","5,08%","9,29%","0,85%","0,85%","0,77%","8,58%","10,60%","11,43%","10,95%","R$ 45.269.820,27","R$ 191,82",1.02,"0,86%","-0,03%","0,82%","7,83%","7,10%",,1
110,PORD11,Títulos e Val. Mob.,"R$ 89,72",74820.0,"R$ 0,90","0,99%","3,09%","7,03%","15,57%","1,03%","1,17%","1,30%","15,57%","-4,19%","-3,25%","12,51%","R$ 363.888.508,94","R$ 97,60",0.92,"0,92%","-0,27%","0,65%","9,21%",,,0
111,BARI11,Títulos e Val. Mob.,"R$ 85,27",108960.0,"R$ 0,90","0,96%","3,06%","7,00%","14,20%","1,02%","1,17%","1,18%","12,90%","-0,81%","0,14%","2,11%","R$ 461.681.838,32","R$ 99,63",0.86,"0,90%","-0,70%","0,19%","8,18%",,,0
112,JGPX11,Híbrido,"R$ 95,64",15250.0,"R$ 1,15","1,19%","3,57%","6,95%","0,00%","1,19%","1,16%","0,00%","12,88%","-0,11%","1,07%","13,67%","R$ 81.392.049,67","R$ 95,97",1.0,"1,17%","0,08%","1,25%","10,88%",,,0
113,BBIM11,Títulos e Val. Mob.,,,"R$ 0,43","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 31.417.779,17","R$ 30,36",,"1,42%","-2,38%","-1,00%","-30,31%",,,0
114,RBHY11,Títulos e Val. Mob.,"R$ 93,26",4600.0,"R$ 1,20","1,25%","3,90%","8,34%","16,67%","1,30%","1,39%","1,39%","14,73%","-1,25%","-0,02%","8,07%","R$ 179.013.107,06","R$ 94,54",0.99,"1,27%","-0,77%","0,49%","12,61%",,,0
115,CXCE11B,Outros,"R$ 40,37",8560.0,"R$ 0,45","1,07%","3,09%","5,85%","11,00%","1,03%","0,98%","0,92%","10,18%","-0,52%","0,55%","2,92%","R$ 110.989.765,24","R$ 64,79",0.62,"0,70%","-0,04%","0,66%","-0,68%","0,00%",,1
116,BBGO11,Títulos e Val. Mob.,"R$ 78,51",46040.0,"R$ 0,80","0,94%","3,07%","5,79%","0,00%","1,02%","0,96%","0,00%","8,16%","0,44%","1,38%","5,60%","R$ 392.249.829,74","R$ 97,94",0.8,"1,02%","-0,09%","0,93%","8,10%",,,0
117,KNCA11,Títulos e Val. Mob.,"R$ 106,98",181070.0,"R$ 1,40","1,32%","3,94%","7,60%","0,00%","1,31%","1,27%","0,00%","12,15%","-2,19%","-0,90%","8,91%","R$ 827.704.658,59","R$ 102,19",1.05,"1,42%","0,07%","1,49%","11,27%",,,0
118,VCRA11,Títulos e Valores Mobiliários,"R$ 105,49",1920.0,"R$ 1,40","1,31%","1,31%","0,00%","0,00%","0,44%","0,00%","0,00%","1,31%","0,00%","1,31%","1,31%","R$ 201.093.976,91","R$ 102,38",1.03,"1,47%","0,00%","1,47%","1,47%",,,0
119,RMAI11,Lajes Corporativas,"R$ 44,78",60.0,"R$ 0,26","0,55%","1,71%","3,83%","7,84%","0,57%","0,64%","0,65%","7,84%","4,22%","4,80%","26,77%","R$ 264.027.689,75","R$ 108,04",0.41,"0,24%","-0,05%","0,19%","2,15%","23,44%",,1
120,CYCR11,Títulos e Val. Mob.,"R$ 8,42",278610.0,"R$ 0,10","1,16%","3,53%","6,80%","14,60%","1,18%","1,13%","1,22%","12,91%","2,49%","3,68%","-90,27%","R$ 155.109.836,70","R$ 95,07",0.09,"0,11%","-0,69%","-0,59%","6,16%",,,0
121,HCHG11,Outros,"R$ 86,30",120.0,"R$ 1,00","1,14%","3,43%","6,77%","12,56%","1,14%","1,13%","1,05%","11,65%","-1,55%","-0,43%","11,04%","R$ 120.079.298,44","R$ 100,07",0.86,"1,00%","-0,38%","0,61%","13,16%",,,0
122,SPTW11,Lajes Corporativas,"R$ 40,39",32500.0,"R$ 0,42","1,05%","2,90%","5,71%","11,08%","0,97%","0,95%","0,92%","10,22%","-7,57%","-6,60%","-1,85%","R$ 95.616.447,81","R$ 53,18",0.76,"0,79%","0,09%","0,88%","8,73%","0,00%",,1
123,RBRD11,Híbrido,"R$ 34,96",28130.0,"R$ 0,30","0,81%","2,31%","5,00%","10,45%","0,77%","0,83%","0,87%","10,03%","-5,76%","-4,99%","-4,93%","R$ 126.703.668,81","R$ 68,42",0.51,"0,44%","0,05%","0,49%","0,83%","15,52%",,4
124,SADI11,Títulos e Val. Mob.,"R$ 90,90",35070.0,"R$ 1,05","1,16%","3,48%","6,98%","13,15%","1,16%","1,16%","1,10%","13,15%","0,53%","1,70%","13,68%","R$ 315.484.399,19","R$ 99,20",0.92,"1,06%","-0,88%","0,17%","9,92%",,,0
125,HBRH11,Híbrido,"R$ 84,97",1920.0,"R$ 0,61","0,65%","1,95%","4,25%","9,58%","0,65%","0,71%","0,80%","8,54%","-2,71%","-2,08%","12,34%","R$ 314.051.483,60","R$ 113,29",0.75,"0,53%","0,10%","0,63%","7,47%",,,3
126,VOTS11,Títulos e Val. Mob.,"R$ 79,93",910.0,"R$ 0,86","1,07%","2,88%","6,66%","14,20%","0,96%","1,11%","1,18%","13,32%","-4,40%","-3,38%","8,84%","R$ 77.446.050,20","R$ 93,54",0.85,"0,92%","-1,43%","-0,53%","8,00%",,,0
127,IDFI11,Híbrido,"R$ 51,99",1870.0,"R$ 0,29","0,55%","1,54%","5,94%","14,29%","0,51%","0,99%","1,19%","12,64%","-16,08%","-15,62%","-42,14%","R$ 122.800.198,55","R$ 59,67",0.87,"0,48%","-1,60%","-1,13%","-18,15%",,,0
128,RBRS11,Híbrido,"R$ 53,91",1520.0,"R$ 0,48","0,87%","2,20%","4,59%","8,71%","0,73%","0,77%","0,73%","8,06%","-10,75%","-9,97%","-11,64%","R$ 163.288.355,92","R$ 94,15",0.57,"0,51%","5,05%","5,58%","5,52%",,,0
129,BPFF11,Títulos e Val. Mob.,"R$ 62,51",58140.0,"R$ 0,62","0,96%","2,87%","6,25%","11,97%","0,96%","1,04%","1,00%","11,13%","-6,52%","-5,62%","4,90%","R$ 333.701.530,45","R$ 74,28",0.84,"0,83%","-5,10%","-4,31%","3,18%",,,0
130,PLCR11,Híbrido,"R$ 82,22",81690.0,"R$ 1,00","1,17%","3,68%","7,86%","15,10%","1,23%","1,31%","1,26%","13,97%","-1,88%","-0,72%","10,70%","R$ 191.604.396,10","R$ 90,84",0.91,"1,10%","-1,64%","-0,56%","9,06%",,,0
131,SPVJ11,Outros,"R$ 69,40",5500.0,"R$ 0,67","0,97%","1,93%","1,93%","1,93%","0,64%","0,32%","0,16%","1,93%","-0,62%","0,35%","1,31%","R$ 737.010.972,76","R$ 116,76",0.59,"0,57%","0,08%","0,66%","16,02%",,,0
132,SPVJ11,Outros,"R$ 69,11",2840.0,"R$ 0,67","0,97%","1,93%","1,93%","1,93%","0,64%","0,32%","0,16%","1,93%","-0,62%","0,35%","1,31%","R$ 737.010.972,76","R$ 116,76",0.59,"0,57%","0,08%","0,66%","16,02%",,,0
133,SPVJ11,Outros,"R$ 69,31",2740.0,"R$ 0,67","0,97%","1,93%","1,93%","1,93%","0,64%","0,32%","0,16%","1,93%","-0,62%","0,35%","1,31%","R$ 737.010.972,76","R$ 116,76",0.59,"0,57%","0,08%","0,66%","16,02%",,,0
134,SPVJ11,Outros,"R$ 69,68",2750.0,"R$ 0,67","0,97%","1,93%","1,93%","1,93%","0,64%","0,32%","0,16%","1,93%","-0,62%","0,35%","1,31%","R$ 737.010.972,76","R$ 116,76",0.6,"0,57%","0,08%","0,66%","16,02%",,,0
135,SPVJ11,Outros,"R$ 69,47",5780.0,"R$ 0,67","0,97%","1,93%","1,93%","1,93%","0,64%","0,32%","0,16%","1,93%","-0,62%","0,35%","1,31%","R$ 737.010.972,76","R$ 116,76",0.59,"0,57%","0,08%","0,66%","16,02%",,,0
136,SPVJ11,Outros,"R$ 69,34",1820.0,"R$ 0,67","0,97%","1,93%","1,93%","1,93%","0,64%","0,32%","0,16%","1,93%","-0,62%","0,35%","1,31%","R$ 737.010.972,76","R$ 116,76",0.59,"0,57%","0,08%","0,66%","16,02%",,,0
137,SPVJ11,Outros,"R$ 69,45",2350.0,"R$ 0,67","0,97%","1,93%","1,93%","1,93%","0,64%","0,32%","0,16%","1,93%","-0,62%","0,35%","1,31%","R$ 737.010.972,76","R$ 116,76",0.59,"0,57%","0,08%","0,66%","16,02%",,,0
138,SPVJ11,Outros,"R$ 69,47",7350.0,"R$ 0,67","0,97%","1,93%","1,93%","1,93%","0,64%","0,32%","0,16%","1,93%","-0,62%","0,35%","1,31%","R$ 737.010.972,76","R$ 116,76",0.59,"0,57%","0,08%","0,66%","16,02%",,,0
139,SPVJ11,Outros,"R$ 69,07",3870.0,"R$ 0,67","0,97%","1,93%","1,93%","1,93%","0,64%","0,32%","0,16%","1,93%","-0,62%","0,35%","1,31%","R$ 737.010.972,76","R$ 116,76",0.59,"0,57%","0,08%","0,66%","16,02%",,,0
140,KNIP11,Títulos e Val. Mob.,"R$ 88,70",1227280.0,"R$ 0,50","0,55%","1,25%","4,43%","12,85%","0,42%","0,74%","1,07%","11,43%","-3,82%","-3,29%","-2,10%","R$ 7.645.646.524,33","R$ 94,80",0.94,"0,53%","-1,90%","-1,38%","9,16%",,,0
141,KNCR11,Títulos e Val. Mob.,"R$ 97,50",1589840.0,"R$ 1,10","1,11%","3,40%","6,98%","12,65%","1,13%","1,16%","1,05%","12,65%","-0,90%","0,20%","9,22%","R$ 5.747.307.324,41","R$ 100,66",0.97,"1,09%","-0,02%","1,08%","11,76%",,,0
142,VLOL11,Lajes Corporativas,"R$ 96,02",2370.0,"R$ 0,61","0,60%","1,74%","3,44%","6,91%","0,58%","0,57%","0,58%","6,35%","-3,61%","-3,03%","16,25%","R$ 184.940.072,85","R$ 103,62",0.93,"0,59%","-0,02%","0,57%","5,31%","0,00%",,1
143,JSAF11,Títulos e Val. Mob.,"R$ 85,08",34840.0,"R$ 0,93","1,13%","3,17%","6,52%","0,00%","1,06%","1,09%","0,00%","12,01%","-12,40%","-11,41%","12,19%","R$ 148.073.844,41","R$ 94,13",0.9,"0,99%","-4,06%","-3,12%","7,12%",,,0
144,VILG11,Logística,"R$ 95,81",222860.0,"R$ 0,72","0,70%","2,03%","4,21%","8,35%","0,68%","0,70%","0,70%","7,68%","-6,31%","-5,65%","7,96%","R$ 1.704.831.705,48","R$ 113,68",0.84,"0,63%","-0,28%","0,35%","6,85%","0,00%",,16
145,RBED11,Outros,"R$ 117,75",27440.0,"R$ 1,23","1,00%","2,86%","5,78%","11,25%","0,95%","0,96%","0,94%","10,42%","-6,67%","-5,74%","13,61%","R$ 317.006.279,24","R$ 144,36",0.82,"0,85%","2,26%","3,13%","11,72%","0,00%",,5
146,RBVA11,Outros,"R$ 91,57",80340.0,"R$ 1,07","1,16%","3,38%","6,74%","12,39%","1,13%","1,12%","1,03%","11,50%","-4,19%","-3,08%","4,70%","R$ 1.195.827.465,24","R$ 103,19",0.89,"1,04%","0,12%","1,16%","11,23%","0,70%",,72
147,CXAG11,Outros,"R$ 76,20",17920.0,"R$ 0,75","0,97%","2,84%","5,89%","0,00%","0,95%","0,98%","0,00%","9,79%","-4,03%","-3,10%","11,92%","R$ 240.047.750,46","R$ 114,82",0.66,"0,65%","0,04%","0,70%","18,24%",,,0
148,XPHT11,Hotel,"R$ 107,80",20260.0,"R$ 1,50","1,32%","4,11%","5,62%","7,41%","1,37%","0,94%","0,62%","6,01%","4,37%","5,74%","23,39%","R$ 358.343.595,71","R$ 94,19",1.14,"1,59%","-0,08%","1,51%","6,74%","64,90%",,5
149,RBVO11,Outros,"R$ 10,30",2850.0,"R$ 0,02","0,18%","0,63%","1,65%","3,53%","0,21%","0,27%","0,29%","3,12%","-0,54%","-0,36%","-7,49%","R$ 8.957.446,15","R$ 17,37",0.59,"0,12%","-0,59%","-0,47%","-22,44%",,,0
150,KINP11,Residencial,"R$ 8,07",94360.0,"R$ 0,24","2,96%","5,85%","12,24%","0,00%","1,95%","2,04%","0,00%","19,17%","-12,00%","-9,40%","-30,81%","R$ 34.338.416,73","R$ 4,80",1.68,"5,01%","-6,28%","-1,58%","1,04%",,,0
151,HTMX11,Hotel,"R$ 109,99",17750.0,"R$ 1,27","1,13%","2,70%","3,50%","6,15%","0,90%","0,58%","0,51%","2,70%","-3,26%","-2,17%","2,74%","R$ 197.844.728,70","R$ 131,52",0.84,"0,97%","-0,42%","0,55%","7,47%","65,00%",,23
152,VCRR11,Residencial,"R$ 69,40",5350.0,"R$ 0,67","0,93%","2,64%","5,36%","10,71%","0,88%","0,89%","0,89%","9,86%","-4,77%","-3,88%","2,34%","R$ 240.055.982,84","R$ 120,03",0.58,"0,56%","0,06%","0,62%","6,67%",,,0
153,HUSC11,Outros,"R$ 105,00",60.0,"R$ 0,87","0,82%","2,35%","5,19%","9,02%","0,78%","0,87%","0,75%","8,53%","-10,17%","-9,43%","2,82%","R$ 116.140.135,50","R$ 146,16",0.72,"0,60%","2,35%","2,96%","7,11%",,,0
154,NEWL11,Híbrido,"R$ 91,92",10540.0,"R$ 0,90","0,93%","2,71%","6,37%","11,69%","0,90%","1,06%","0,97%","10,37%","-4,36%","-3,47%","4,38%","R$ 245.981.102,26","R$ 120,99",0.76,"0,74%","-0,31%","0,44%","13,74%","0,00%",,2
155,HSRE11,Híbrido,"R$ 102,50",20.0,"R$ 0,63","0,62%","1,87%","3,69%","7,37%","0,62%","0,61%","0,61%","6,49%","0,65%","1,28%","8,28%","R$ 819.397.969,15","R$ 96,20",1.07,"0,65%","-0,04%","0,62%","5,83%","0,00%",,29
156,QAMI11,Híbrido,"R$ 82,28",1690.0,"R$ 0,80","0,98%","2,89%","6,63%","14,76%","0,96%","1,10%","1,23%","13,17%","-2,95%","-2,00%","-6,16%","R$ 73.333.958,70","R$ 91,51",0.9,"0,87%","-1,61%","-0,75%","10,69%",,,0
157,OUJP11,Títulos e Val. Mob.,"R$ 95,93",108400.0,"R$ 1,20","1,26%","3,80%","8,07%","15,94%","1,27%","1,34%","1,33%","14,91%","-0,14%","1,12%","20,84%","R$ 325.029.599,13","R$ 99,94",0.96,"1,20%","-1,18%","0,01%","13,55%",,,0
158,VGHF11,Títulos e Val. Mob.,"R$ 9,00",2244060.0,"R$ 0,10","1,11%","2,98%","6,70%","15,68%","0,99%","1,12%","1,31%","13,88%","-5,67%","-4,62%","0,17%","R$ 671.782.012,91","R$ 9,22",0.98,"1,08%","-1,70%","-0,64%","12,47%",,,0
159,LGCP11,Logística,"R$ 77,97",14310.0,"R$ 0,62","0,76%","2,22%","4,53%","8,98%","0,74%","0,76%","0,75%","8,30%","-3,09%","-2,35%","8,23%","R$ 280.911.914,99","R$ 102,79",0.76,"0,60%","0,02%","0,62%","7,54%","0,50%",,5
160,KFOF11,Títulos e Val. Mob.,"R$ 74,00",112550.0,"R$ 0,72","0,88%","2,47%","4,99%","10,21%","0,82%","0,83%","0,85%","10,21%","-8,80%","-7,99%","40,75%","R$ 417.351.938,43","R$ 92,06",0.8,"0,78%","-6,43%","-5,70%","6,11%",,,0
161,HSML11,Shoppings,"R$ 78,98",306540.0,"R$ 0,68","0,83%","2,36%","4,76%","9,16%","0,79%","0,79%","0,76%","8,52%","-8,76%","-8,00%","16,40%","R$ 1.536.624.397,06","R$ 97,37",0.81,"0,70%","-0,19%","0,51%","4,26%","4,50%",,6
162,XPCI11,Outros,"R$ 79,02",278310.0,"R$ 0,60","0,71%","2,48%","5,69%","12,66%","0,83%","0,95%","1,06%","11,66%","-2,86%","-2,17%","-2,35%","R$ 814.711.734,76","R$ 93,63",0.84,"0,64%","-1,97%","-1,34%","10,11%",,,0
163,BRCO11,Logística,"R$ 94,19",450050.0,"R$ 0,70","0,68%","1,96%","4,04%","7,85%","0,65%","0,67%","0,65%","7,24%","-6,35%","-5,71%","13,32%","R$ 1.796.316.141,41","R$ 121,55",0.77,"0,58%","2,01%","2,60%","8,31%","0,00%","0,00%",10
164,VINO11,Lajes Corporativas,"R$ 45,50",285240.0,"R$ 0,34","0,69%","2,05%","4,26%","8,60%","0,68%","0,71%","0,72%","7,72%","-1,58%","-0,90%","2,89%","R$ 892.828.948,06","R$ 53,90",0.84,"0,63%","-0,44%","0,18%","4,17%","4,20%",,9
165,PQDP11,Shoppings,"R$ 2.010,01",270.0,"R$ 16,64","0,78%","2,40%","4,52%","8,85%","0,80%","0,75%","0,74%","6,84%","-5,33%","-4,59%","11,83%","R$ 813.718.968,26","R$ 3.314,36",0.61,"0,50%","0,07%","0,57%","1,70%","3,60%",,1
166,BBPO11,Lajes Corporativas,"R$ 84,80",299950.0,"R$ 0,92","1,03%","3,02%","6,31%","12,29%","1,01%","1,05%","1,02%","11,34%","-3,89%","-2,90%","6,28%","R$ 1.597.919.446,83","R$ 100,37",0.84,"0,92%","0,06%","0,98%","15,85%","0,00%","0,00%",64
167,BCIA11,Títulos e Val. Mob.,"R$ 82,36",44390.0,"R$ 0,76","0,90%","2,55%","5,15%","9,98%","0,85%","0,86%","0,83%","9,24%","-7,64%","-6,81%","7,32%","R$ 376.215.413,97","R$ 101,16",0.81,"0,75%","-5,66%","-4,95%","4,65%",,,0
168,GESE11B,Outros,"R$ 73,97",3120.0,"R$ 14,04","18,78%","18,78%","18,78%","0,00%","6,26%","3,13%","0,00%","18,78%","0,00%","18,78%","18,78%","R$ 91.931.589,50","R$ 1.767,92",0.04,"0,79%","0,00%","0,79%","2,41%",,,0
169,GESE11B,Outros,"R$ 73,81",16840.0,"R$ 14,04","18,78%","18,78%","18,78%","0,00%","6,26%","3,13%","0,00%","18,78%","0,00%","18,78%","18,78%","R$ 91.931.589,50","R$ 1.767,92",0.04,"0,79%","0,00%","0,79%","2,41%",,,0
170,GESE11B,Outros,"R$ 74,50",6280.0,"R$ 14,04","18,78%","18,78%","18,78%","0,00%","6,26%","3,13%","0,00%","18,78%","0,00%","18,78%","18,78%","R$ 91.931.589,50","R$ 1.767,92",0.04,"0,79%","0,00%","0,79%","2,41%",,,0
171,GESE11B,Outros,"R$ 74,64",5260.0,"R$ 14,04","18,78%","18,78%","18,78%","0,00%","6,26%","3,13%","0,00%","18,78%","0,00%","18,78%","18,78%","R$ 91.931.589,50","R$ 1.767,92",0.04,"0,79%","0,00%","0,79%","2,41%",,,0
172,GESE11B,Outros,"R$ 74,48",4340.0,"R$ 14,04","18,78%","18,78%","18,78%","0,00%","6,26%","3,13%","0,00%","18,78%","0,00%","18,78%","18,78%","R$ 91.931.589,50","R$ 1.767,92",0.04,"0,79%","0,00%","0,79%","2,41%",,,0
173,GESE11B,Outros,"R$ 74,35",5410.0,"R$ 14,04","18,78%","18,78%","18,78%","0,00%","6,26%","3,13%","0,00%","18,78%","0,00%","18,78%","18,78%","R$ 91.931.589,50","R$ 1.767,92",0.04,"0,79%","0,00%","0,79%","2,41%",,,0
174,GESE11B,Outros,"R$ 74,27",6020.0,"R$ 14,04","18,78%","18,78%","18,78%","0,00%","6,26%","3,13%","0,00%","18,78%","0,00%","18,78%","18,78%","R$ 91.931.589,50","R$ 1.767,92",0.04,"0,79%","0,00%","0,79%","2,41%",,,0
175,GESE11B,Outros,"R$ 74,75",5130.0,"R$ 14,04","18,78%","18,78%","18,78%","0,00%","6,26%","3,13%","0,00%","18,78%","0,00%","18,78%","18,78%","R$ 91.931.589,50","R$ 1.767,92",0.04,"0,79%","0,00%","0,79%","2,41%",,,0
176,BICE11,Títulos e Val. Mob.,"R$ 950,00",6570.0,"R$ 16,00","1,68%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,68%","0,00%","1,68%","1,68%","R$ 21.446.128,25","R$ 1.017,80",0.93,"1,57%","5,06%","6,71%","8,19%",,,0
177,KNSC11,Títulos e Val. Mob.,"R$ 85,30",561500.0,"R$ 0,75","0,88%","2,04%","5,01%","12,55%","0,68%","0,84%","1,05%","11,11%","-4,19%","-3,34%","-4,72%","R$ 1.176.250.630,59","R$ 88,60",0.96,"0,85%","-1,15%","-0,31%","9,95%",,,0
178,RBFF11,Títulos e Val. Mob.,"R$ 50,89",43720.0,"R$ 0,51","0,97%","2,81%","5,50%","10,92%","0,94%","0,92%","0,91%","10,10%","-5,58%","-4,66%","4,78%","R$ 239.928.753,34","R$ 63,99",0.8,"0,80%","-4,94%","-4,19%","6,43%",,,0
179,SDIL11,Logística,"R$ 91,15",85130.0,"R$ 0,82","0,89%","2,55%","5,05%","10,11%","0,85%","0,84%","0,84%","9,28%","-3,39%","-2,53%","16,68%","R$ 628.810.333,38","R$ 98,33",0.93,"0,83%","-0,22%","0,61%","9,86%","2,60%",,5
180,PQAG11,Logística,"R$ 55,00",240.0,"R$ 0,44","0,79%","2,36%","4,55%","8,71%","0,79%","0,76%","0,73%","8,04%","2,73%","3,54%","7,36%","R$ 801.384.144,58","R$ 57,27",0.96,"0,77%","-0,03%","0,74%","9,04%","0,00%",,1
181,VCJR11,Títulos e Val. Mob.,"R$ 88,71",188170.0,"R$ 0,43","0,48%","0,91%","4,03%","12,43%","0,30%","0,67%","1,04%","10,86%","-3,39%","-2,92%","2,13%","R$ 1.386.004.425,36","R$ 94,13",0.94,"0,46%","-1,54%","-1,09%","11,45%",,,0
182,WPLZ11,Shoppings,"R$ 78,50",430.0,"R$ 0,60","0,71%","1,96%","3,83%","6,36%","0,65%","0,64%","0,53%","5,84%","6,00%","6,75%","25,29%","R$ 105.130.234,67","R$ 102,99",0.76,"0,58%","0,06%","0,64%","4,68%","11,00%",,1
183,NVHO11,Hospital,"R$ 9,80",7350.0,"R$ 0,08","0,84%","2,41%","4,60%","8,10%","0,80%","0,77%","0,67%","6,78%","-4,86%","-4,06%","2,95%","R$ 529.260.583,43","R$ 12,75",0.77,"0,65%","0,05%","0,70%","6,35%",,,1
184,RNDP11,Títulos e Val. Mob.,"R$ 146,18",430.0,"R$ 0,77","0,51%","2,22%","5,14%","10,27%","0,74%","0,86%","0,86%","9,64%","-41,06%","-40,76%","-72,29%","R$ 20.370.268,04","R$ 189,52",0.77,"0,41%","-40,99%","-40,75%","-69,57%",,,0
185,KNRI11,Híbrido,"R$ 137,86",261580.0,"R$ 0,91","0,64%","1,87%","3,77%","7,45%","0,62%","0,63%","0,62%","6,83%","-2,27%","-1,64%","14,86%","R$ 3.867.931.624,08","R$ 160,12",0.86,"0,57%","-0,09%","0,47%","7,86%","2,00%","6,72%",20
186,VIUR11,Títulos e Val. Mob.,"R$ 7,14",769850.0,"R$ 0,07","0,99%","2,78%","5,67%","11,39%","0,93%","0,95%","0,95%","10,48%","-8,56%","-7,66%","-89,40%","R$ 256.267.930,82","R$ 9,51",0.75,"0,76%","-0,12%","0,64%","-89,31%","0,00%",,6
187,LUGG11,Residencial,"R$ 70,50",1240.0,"R$ 0,52","0,72%","2,09%","4,10%","8,21%","0,70%","0,68%","0,68%","7,56%","-6,67%","-5,99%","-10,45%","R$ 115.118.749,86","R$ 127,87",0.55,"0,41%","0,07%","0,48%","7,38%","2,40%",,4
188,TGAR11,Outros,"R$ 115,26",267450.0,"R$ 1,50","1,24%","3,76%","7,69%","14,34%","1,25%","1,28%","1,20%","13,33%","-2,72%","-1,51%","12,36%","R$ 1.296.364.862,05","R$ 114,63",1.01,"1,31%","-2,00%","-0,72%","-0,98%",,,0
189,HLOG11,Logística,"R$ 85,40",4930.0,"R$ 0,65","0,71%","2,07%","4,23%","8,47%","0,69%","0,70%","0,71%","7,81%","-2,08%","-1,38%","6,76%","R$ 471.945.228,55","R$ 111,05",0.77,"0,59%","-0,07%","0,51%","5,12%","58,00%","0,00%",3
190,PLRI11,Títulos e Val. Mob.,"R$ 24,00",4520.0,"R$ 0,12","0,54%","2,48%","4,06%","12,01%","0,83%","0,68%","1,00%","11,49%","-2,35%","-1,83%","-35,12%","R$ 31.458.226,66","R$ 32,96",0.73,"0,36%","-1,08%","-0,73%","-14,02%",,,0
191,BBRC11,Outros,"R$ 93,49",19640.0,"R$ 0,99","1,03%","3,00%","5,94%","11,54%","1,00%","0,99%","0,96%","10,70%","-4,09%","-3,10%","6,60%","R$ 169.528.869,45","R$ 106,62",0.88,"0,93%","-0,09%","0,84%","9,30%","5,37%","1,08%",20
192,RRCI11,Títulos e Val. Mob.,"R$ 85,33",411800.0,"R$ 0,90","1,04%","3,46%","7,72%","16,26%","1,15%","1,29%","1,36%","16,26%","3,78%","4,86%","16,47%","R$ 45.496.558,40","R$ 94,44",0.9,"0,95%","-1,49%","-0,56%","10,78%",,,0
193,ATSA11,Shoppings,"R$ 80,50",20.0,"R$ 0,05","0,06%","0,19%","0,78%","2,61%","0,06%","0,13%","0,22%","0,19%","2,62%","2,68%","-2,36%","R$ 158.451.008,63","R$ 90,48",0.89,"0,06%","0,17%","0,22%","0,83%","21,90%",,1
194,VTLT11,Logística,"R$ 95,00",63190.0,"R$ 0,83","0,88%","2,59%","5,32%","10,56%","0,86%","0,89%","0,88%","9,78%","-3,68%","-2,83%","12,83%","R$ 217.798.220,61","R$ 102,98",0.92,"0,81%","0,05%","0,86%","8,91%","0,00%","0,00%",1
195,BCRI11,Títulos e Val. Mob.,"R$ 92,89",80790.0,"R$ 1,00","1,03%","3,07%","6,90%","14,09%","1,02%","1,15%","1,17%","12,84%","-5,28%","-4,31%","-0,72%","R$ 630.434.754,76","R$ 100,74",0.92,"0,99%","-0,93%","0,05%","6,21%",,,0
196,TEPP11,Lajes Corporativas,"R$ 67,58",96780.0,"R$ 0,50","0,67%","1,87%","3,87%","8,00%","0,62%","0,65%","0,67%","7,32%","-6,10%","-5,48%","9,93%","R$ 380.930.502,55","R$ 90,23",0.75,"0,55%","-0,09%","0,46%","4,65%","9,06%","18,03%",5
197,PATC11,Lajes Corporativas,"R$ 68,00",26960.0,"R$ 0,28","0,39%","1,44%","3,77%","6,54%","0,48%","0,63%","0,54%","6,07%","-5,71%","-5,34%","16,85%","R$ 275.074.888,50","R$ 79,10",0.86,"0,35%","-7,17%","-6,84%","-4,71%","21,90%","18,90%",6
198,APTO11,Híbrido,"R$ 8,79",30620.0,"R$ 0,10","1,14%","3,23%","6,93%","0,00%","1,08%","1,16%","0,00%","12,21%","-3,72%","-2,63%","-1,73%","R$ 39.999.841,80","R$ 9,97",0.88,"1,00%","-0,78%","0,22%","13,14%",,,0
199,HSLG11,Logística,"R$ 85,43",51860.0,"R$ 0,70","0,79%","2,27%","4,56%","8,74%","0,76%","0,76%","0,73%","8,14%","-5,27%","-4,53%","7,36%","R$ 1.332.098.024,31","R$ 105,22",0.81,"0,67%","-0,05%","0,62%","0,99%","1,10%",,5
